,Groups,Urocanic acid,Uridine,Uric acid,Tyrosine,Tryptophan,Trigonelline,Indoleacrylic acid,Threonine,Threonic acid,Taurine,Stachydrine,Serine,Ribose,Quinic acid,Pseudouridine,Proline,Pipecolic acid,Phenylalanine,Phenylacetylglycine,Ornithine,Nicotinamide 1-oxide,Nicotinamide,"N6,N6,N6-Trimethyl-L-lysine",Asymmetric dimethylarginine,Isovalerylglycine,N-Acetylornithine,N-Acetylneuraminic acid,N-Acetyl-L-aspartic acid,1-Methylhistidine,Leucine,Lactic Acid,Isoleucine,Hydroxycinnamic acid,Hydrocinnamic acid,Histidine,Hippuric acid,Iditol,Guanidinosuccinic acid,Glyceric acid,Glutamine,Glutamic acid,Glucose,Gluconic acid,Ethyl glucuronide,Ergothioneine,Cytidine,Creatinine,Creatine,Citramalic acid,Choline,Carnitine,Betaine,Beta-D-Glucopyranuronic acid,Beta alanine,Asparagine,Ascorbic acid,Arginine,Anserine,alpha-Glycerylphosphorylcholine,Alanine,Adenosine 5'-monophosphate,Acrylic acid,Acetyl-β-methylcholine,4-Oxoproline,4-Hydroxybenzaldehyde,4-Guanidinobutyric acid,3-Methylhistidine,3-Indoxyl sulphate,3-Hydroxybutyric acid,2-Naphthalenesulfonic acid,"1,5-Anhydro-D-glucitol"
1091_8_FBG,19060.0,19017954.190000005,31041178.66999997,192264008.59999996,8776986.864999995,6296060.890000002,3338523.6710000033,6766759.5879999995,5136893.816000012,2868605.4589999975,11116910.550000034,21845559.35000001,22143023.490000013,559024.9322999998,423733.29800000007,1465933.7760000033,15888186.540000007,16101258.320000056,15482683.559999987,606547.5467000009,10270360.660000011,3612687.8690000027,7807781.383000011,844836.8125000007,1774209.839999999,1012686.2709999997,694836.0266999995,3182692.774999992,2620780.0980000086,1653137.5710000028,11133282.059999982,143849172.49999997,9063054.478000004,2045881.2359999993,5292265.935000008,16575594.530000003,266793.98560000025,372251.6452999987,2035617.3539999938,11021158.959999986,275382609.4,3506002.0780000035,28779940.240000013,2361236.7579999934,853558.2588999999,671792.5067000007,8750146.172000023,19630473.139999982,82875733.45999977,1732218.0730000013,35754333.1,18349913.599999998,246747650.99999982,1732218.0730000013,4456357.076999993,4636616.030000004,4105762.972000001,5976285.918000004,1179185.1669999973,60330460.55999993,20345896.280000027,1532901.306000003,10210153.520000001,3213273.3040000023,21431288.82999999,604782.5104000007,415171.20780000015,1747375.167,1490747.6570000045,70247443.72000006,5394008.854000001,1300902.2600000007
1091_10_FBG,19060.0,12566499.899999954,27506125.360000014,150317027.5000001,9197110.30400002,6842137.116000003,4546626.269000003,6769321.116,3578884.958999996,2893118.8499999978,6996678.34300002,26876469.82000002,16040034.92000002,859746.3233999993,459047.1212999997,1571241.5059999984,12885603.330000028,16469249.739999989,14763756.600000022,778927.3009999997,10369917.179999968,3615984.455999999,3901875.4240000006,1155206.4409999996,2326371.770000008,1108090.1090000002,675390.1733000013,2404081.0459999996,2405842.2970000017,1939523.767999997,10964946.840000015,138378491.3999999,6558883.288999994,1984446.238,3132811.0569999954,31851334.880000036,226501.1948000001,371583.91879999975,2649944.124999997,15186316.379999982,267939560.99999982,2558569.4620000077,26575811.260000028,2334195.4019999993,748324.8397000025,1128379.1060000008,5095755.967000006,20930777.48000002,75499127.44999997,2146474.9349999987,26017683.109999996,22218857.56999999,203026422.20000017,2146474.9349999987,3897420.308000003,4409321.6729999995,5621846.137000003,17955593.379999988,1223219.9039999992,35526120.40000001,16886802.210000012,634051.3287000001,9973354.389,3965113.7500000033,16845215.309999987,642528.0623999996,289691.0675999996,1506346.4910000018,1735679.583000001,91690869.46999988,3918301.2149999975,1399713.1980000015
1093_8_FBG,25057.5,12267489.16999997,26275629.329999983,177804706.19999993,9233758.261,6508144.965000007,4619307.200999997,6653761.655000005,5298706.841000002,2210036.6770000015,12931653.700000037,24361966.60999996,17575215.649999987,756911.3048000003,458539.7049999987,1549615.7870000028,14010409.039999992,17933625.54,14434202.580000015,806456.6697999992,11465627.90999996,5021533.1870000055,5967951.773000009,1245520.3509999986,2285318.395,587103.3354000011,987648.9415000005,3790253.7770000095,3029672.8480000026,2040312.3409999972,11207177.129999971,153415771.30000004,7748684.148999993,2036606.3589999946,4632434.351999996,17257252.56999997,538100.3046999995,474117.49090000056,2285551.8369999994,11264074.070000008,284216905.2999998,4042094.834999991,31558975.23000005,1761937.3490000002,106500.8208000001,910268.3684999995,6119327.105999997,19951305.709999986,92305602.10000013,2013003.9850000013,26463532.199999996,25353032.620000016,256928938.3000003,2013003.9850000013,3139760.3460000027,5558814.013999998,5110469.237999994,3974767.8650000016,1627835.8950000044,48307258.41999997,18693327.42000002,1480201.776,10912091.749999976,6429771.431999985,15720992.529999953,670007.7153,331040.7129999998,1939265.428999998,4081237.4440000034,91463739.18000004,4075409.249,833352.3431999994
1093_9_FBG,25057.5,5415968.610000005,24170186.800000023,139111579.20000014,9494576.177000022,6179363.356999992,5808179.122000019,6486676.367999993,5072950.338000006,3286372.287000001,8605686.298999991,23719143.380000014,15028653.629999978,678746.4805000005,891169.1585999985,1315792.4959999998,11975109.310000002,18833653.50000001,13283357.50000001,905251.2978999998,11704194.819999967,4466197.4159999965,5679404.637000009,1082260.922999999,2074641.0220000003,1200759.4199999967,893766.7353000001,2664523.3639999973,2596734.3380000032,2133969.3450000025,11964229.619999986,128410137.6000001,9941832.952000009,1916622.134000002,3900210.1129999976,18139050.84999998,389991.5179999996,307218.391099999,2267180.1580000077,13000826.42000001,300799464.10000044,2992118.244999998,32813263.139999967,1923036.321000001,1014672.3889999979,1116216.0309999983,3997385.1420000046,20430518.059999987,87727677.1700003,3049134.8280000035,24218198.490000002,26210876.06999998,228752714.9999999,3049134.8280000035,4884559.799,6116729.484000006,5405849.046000001,4778475.189000001,1159078.942999999,33367239.129999943,20053731.810000017,933509.7661000005,12707688.730000012,8453835.473999975,10658733.05999997,674436.9772999999,387049.3526000003,2017598.1470000048,4605000.160000016,106272820.69999994,8589181.648999996,1310425.1549999984
1093_10_FBG,25057.5,6834538.092000005,22210442.15000007,113369980.29999995,8749131.348000022,7270258.001000004,5070730.290999998,7955864.252999994,3846522.013,2009679.999000001,17195207.74999998,26719377.330000024,13013784.149999987,954443.1764999998,239705.95219999985,1429992.9169999992,11444759.44000001,18657717.029999986,15076128.570000015,697879.1462999993,10597344.660000019,5492814.127000004,7255040.586999999,1338025.2750000048,2521275.202999998,940198.481900002,797174.4074000012,2649704.483999999,4000125.847999991,1661002.7439999988,10580525.530000001,162834291.0,7892467.425999998,1910734.3979999982,2532825.7369999993,14735899.829999993,172727.8348999998,540408.6339000005,2694066.4650000012,12884933.139999986,258633164.99999985,4877186.816999998,23610406.039999917,1536094.8250000002,667658.1761999998,860675.9654999983,3369166.616999998,19062664.37000007,87901928.26999968,2055438.3300000038,17900106.050000004,23987751.460000027,239636971.09999958,2055438.3300000038,3207639.951000003,4674763.105999998,6656272.339999998,10026554.180000007,2601695.4040000024,25017008.26000007,17969102.660000004,1288104.3509999998,8351734.727000029,6708542.566000021,12994159.240000002,655299.5827000001,297247.06160000036,1727013.4600000018,2500603.503000001,57091895.84000001,4066620.9590000017,805356.0415000003
1060_8_FBG,48742.5,15602078.92,27537794.980000034,145332.15229999993,6597335.170000003,4447317.879000004,2761855.1129999994,4388678.120999998,3357743.024000002,2523264.8549999995,12386148.030000009,13397986.900000008,16151803.829999993,1239042.0289999968,1219809.7740000011,1491990.000999998,13413932.709999993,13388532.349999996,11137114.850000007,2185316.017999993,9010872.660000006,3640426.93399999,5508707.451999987,1017778.9400000029,1975658.5260000057,2370813.531999999,554537.5516999998,2689512.3170000054,5276138.687999993,765384.3902999995,10071817.989999967,75608222.08000006,6409182.304000002,1227017.986000004,4952108.745999999,30955248.95999997,461011.30200000014,580409.4786999997,863081.0770999995,7265237.49800001,246837939.59999996,2932972.4100000025,20533487.48000006,1189391.9000000006,473313.0800999984,57611.18176000002,7496558.409000003,19350595.659999978,92344089.92000003,2260556.191999999,27894668.44999997,16553691.800000018,165760415.89999986,2260556.191999999,4101475.384999988,3603803.880999999,5631206.462000003,4626695.326999998,1356234.534999999,53921191.47999994,18038151.72000001,964141.2206000009,8114693.008999997,2277755.1460000086,20981888.039999977,489242.84790000017,486039.4033999999,1212013.2319999987,3161875.3190000025,42924672.63000003,2779719.3619999983,666041.0680000003
1060_9_FBG,48742.5,20135123.949999984,24064538.539999966,589531.6203999994,9683139.365999993,5729743.4600000065,2813667.5090000033,6076215.938999996,3778966.615000007,2119090.5560000045,13674309.389999999,14760455.580000041,16868765.84000002,1235016.9260000014,904239.7287000013,1432985.4160000002,13967789.139999988,14104270.14,15145124.149999997,3903294.855000011,10970906.360000003,2980894.169999993,4551806.839000001,1228534.5100000012,1663684.223999997,4166153.5780000053,864482.9893000004,3782923.5790000013,4379802.255000005,1823914.1340000045,12344812.340000002,136947825.3,6999815.710999995,1951882.162000001,5941250.928000003,32375989.31000001,881208.1429999997,434701.19790000113,2362352.8569999975,10507621.079999998,242094430.1000001,7263194.783000008,24973704.589999977,1352368.0300000007,824625.5487999999,64565.78190999999,6897204.258000003,18342436.34999999,100293305.20000003,1934213.1380000007,28126288.420000028,26788009.599999957,163468036.40000007,1934213.1380000007,4478056.399000015,4540838.636000004,5541990.315000006,1495039.0060000014,1335662.754000001,46610332.36000007,19968307.81,1231269.710000004,8663555.562999975,3296686.9189999998,24446399.209999993,612054.9168999994,554140.5554000002,1876159.8650000012,3711704.621000004,52036118.73000009,1472924.7710000013,397736.53890000045
1060_10_FBG,48742.5,8893914.03800001,29057026.910000037,155157441.69999993,7270466.245000002,6197505.320000001,3612668.703000009,6647481.623000001,3248736.240999992,2778235.4749999978,13418553.610000044,17909319.770000003,12328782.55999999,1272317.6420000007,957167.7930999999,1836112.724999999,10229269.989999998,12518066.08,12359081.309999987,1445528.2520000015,13616166.790000014,3097328.734000004,4956685.37200001,1531322.235999999,2759647.724999994,944397.1087000007,608688.6239999977,5388939.543999999,2833794.1320000016,1774857.7639999983,7892076.711000009,108689673.3000001,6511924.080999982,1590456.1459999941,4048022.3770000036,14118979.680000044,542680.5408999985,598306.5973999999,2103676.803000007,11251109.309999995,289324611.0000003,3360286.1410000036,22235286.929999933,1443806.5340000007,609291.6909000005,894199.5386000004,3791247.8609999865,18296416.880000003,113449580.5999999,3742849.8270000024,19269129.769999996,27519392.69000004,176808367.4000002,3742849.8270000024,2276150.576999998,3811638.5229999973,5131073.493999995,5027666.476999999,2216795.812999999,26411319.569999978,18418720.140000038,1081763.4850000003,7998772.324999994,3583253.5119999927,16349295.28999998,496148.8578999996,352754.1759999996,1381731.6969999992,3589524.0610000025,75136263.03999986,1861599.0349999983,557081.3835000002
1062_8_FBG,43717.5,30734323.930000003,28956497.329999994,3587877.679000002,9783202.460000012,5354127.561999983,4091302.0619999906,5333773.822,4490185.121000003,3232301.4320000075,14145970.859999986,19244493.360000018,26547147.870000027,1432300.9790000017,467472.87800000055,1506348.5919999992,20753294.179999985,12482465.709999999,15518983.370000025,2117004.537000001,14143097.67999995,2741525.5780000025,3919064.1380000007,1044666.6299999994,1748196.5129999984,2248542.5489999996,839036.5592000016,3760803.3669999954,3767521.141999997,1750393.0419999983,10637840.920000006,185365985.20000044,7696624.797999979,2108816.8680000044,3993233.8000000054,30534737.450000025,490701.38889999886,558288.0080000006,2225921.0139999995,11968825.030000001,274357182.4999995,5030286.436999997,34650755.969999984,1686001.9599999988,1060879.8959999986,119836.61600000005,9980731.447000016,18650174.630000014,105933400.99999987,2539397.4030000027,39493613.32000005,24418493.54,187979325.50000024,2539397.4030000027,6138728.406999997,4085555.9950000052,4975634.662999997,1529643.2250000003,1330127.0070000023,78348985.15,22168288.960000027,1796370.407,12275011.889999982,5601289.682999998,32072252.16000001,730360.3737000006,583969.3488999997,1731926.4230000002,2015764.0250000013,74954032.05000004,2610618.567999998,957327.0620999977
1062_9_FBG,43717.5,18376939.44999994,22267779.880000003,9567383.92800001,7466049.375000003,5740458.059000002,3756916.2949999967,6307630.523999994,3958483.970000005,3987227.348999989,20409789.860000007,15653951.070000004,17450632.28000004,1866992.913999998,1417428.376,1437757.5329999998,14646838.180000002,9973574.412999991,13995833.6,1894284.4150000017,9945492.606000016,2648455.032000007,3546023.996000001,997943.0936000006,1765939.2929999991,2096256.1910000003,622689.3299000001,3616745.3909999924,3633885.8939999957,1633200.0170000016,10138036.860000007,187816948.80000016,6869580.144000008,1582684.4319999998,3985584.2810000046,35713205.19999999,867806.8965999986,463376.8645000001,2276191.3609999977,13204509.130000014,269230542.0999999,4626567.216000006,27903430.680000007,1882968.108999999,947408.1011,265827.3949000001,6363719.544999994,18800199.309999995,105725704.4999999,2316039.6030000024,32786230.300000116,27637054.61000001,174827347.69999987,2316039.6030000024,5305086.896000006,3431303.7130000014,5691730.026999998,898903.7814999991,1477908.0970000003,46906787.99999999,22683604.989999983,1467840.698999999,9928888.127999991,5514564.336000004,23847842.53999992,477699.01340000005,569842.189099999,1447654.6740000031,2154985.4949999964,60037882.95000007,3710397.1329999953,372776.6290999997
